Sat, 06 Dec 2014 07:05:35 +0000	C:\xampp\htdocs\elance-advance\assets\newsletter\index.php [Line: 116]	Invalid username and password tried to log into ListMessenger. IP Address: [192.168.0.123]
Sat, 23 May 2015 17:12:10 +0000	/home/jobbid457/public_html/assets/newsletter/index.php [Line: 116]	Invalid username and password tried to log into ListMessenger. IP Address: [50.188.175.246]
Thu, 17 May 2018 03:56:29 +0000	/home1/demosank/public_html/flance/assets/newsletter/section/password.inc.php [Line: 241]	Unable to send the ListMessenger administrator password reset e-mail [team@elanceadv.com]. PHPMailer said: Could not instantiate mail function.
Thu, 17 May 2018 03:56:29 +0000	/home1/demosank/public_html/flance/assets/newsletter/section/password.inc.php [Line: 248]	The instructions for resetting your ListMessenger administrator password could not be sent. Please check the ListMessenger error_log file for further details.
Thu, 17 May 2018 03:58:59 +0000	/home1/demosank/public_html/flance/assets/newsletter/index.php [Line: 116]	Invalid username and password tried to log into ListMessenger. IP Address: [202.142.106.246]
Thu, 17 May 2018 03:59:14 +0000	/home1/demosank/public_html/flance/assets/newsletter/section/password.inc.php [Line: 241]	Unable to send the ListMessenger administrator password reset e-mail [team@elanceadv.com]. PHPMailer said: Could not instantiate mail function.
Thu, 17 May 2018 03:59:14 +0000	/home1/demosank/public_html/flance/assets/newsletter/section/password.inc.php [Line: 248]	The instructions for resetting your ListMessenger administrator password could not be sent. Please check the ListMessenger error_log file for further details.
Thu, 17 May 2018 03:59:55 +0000	/home1/demosank/public_html/flance/assets/newsletter/index.php [Line: 116]	Invalid username and password tried to log into ListMessenger. IP Address: [202.142.106.246]
Mon, 06 Aug 2018 12:44:11 +0000	/home1/demosank/public_html/flance/assets/newsletter/index.php [Line: 116]	Invalid username and password tried to log into ListMessenger. IP Address: [42.106.26.193]
Mon, 06 Aug 2018 12:44:13 +0000	/home1/demosank/public_html/flance/assets/newsletter/index.php [Line: 116]	Invalid username and password tried to log into ListMessenger. IP Address: [42.106.26.193]
Fri, 17 Aug 2018 05:31:52 +0000	/home1/demosank/public_html/flance/assets/newsletter/section/password.inc.php [Line: 241]	Unable to send the ListMessenger administrator password reset e-mail [team@elanceadv.com]. PHPMailer said: Could not instantiate mail function.
Fri, 17 Aug 2018 05:31:52 +0000	/home1/demosank/public_html/flance/assets/newsletter/section/password.inc.php [Line: 248]	The instructions for resetting your ListMessenger administrator password could not be sent. Please check the ListMessenger error_log file for further details.
